
Учим #Карточку_15

RUS -> ENG

verb ||move||	/||ˈmuv||/	двигаться	Let’s keep moving right this way.

verb ||lose||	/||ˈluz||/	терять, проигрывать	I don’t want to lose him.

noun ||dad||	/||ˈdæd||/	папа	Dad didn't come home last night.

verb, noun ||care||	/||ˈkɛr||/	1. заботиться; 1.	Cookies says someone really cares.

verb, noun ||care||	/||ˈkɛr||/	2. забота	2.	Let me take care of the presentation.

verb ||hate||	/||ˈheɪt||/	ненавидеть	I hate playing three-handed poker.

verb ||buy||	/||ˈbaɪ||/	покупать	Buying a new water heater would solve this.

noun ||hand||	/||ˈhænd||/	рука	Maybe I'll play with my left hand.

noun ||game||	/||ˈgeɪm||/	игра	Don't hate the player, hate the game.

noun ||mr.||	/||ˈmɪstər||/	мистер	Mr. Ford is a very good customer.

verb ||wear||	/||ˈwɛr||/	носить	You never even wear that T-shirt.
