
Учим #Карточку_174

RUS -> ENG

noun ||treat||	/||ˈtrit||/	 угощение; награда; удовольствие	And now, a very special treat.

verb ||scratch||	/||ˈskrætʃ||/	 царапать; чесать(ся) She saw Porter scratching his head at school.

verb ||announce||	/||əˈnaʊns||/	объявлять John announced he was turning down his college scholarship.

noun ||post||	/||ˈpoʊst||/	 почта They hate the post office.

verb ||click||	/||ˈklɪk||/  	 щелкнуть, кликнуть Click on guest list.

verb ||pour||	/||ˈpɔr||/    	 лить; наливать See, I actually can pour milk.

noun ||virgin||	/||ˈvɝdʒɪn||/	девственник, девственница Don't judge me, Mr. Virgin Plus One.

noun ||spoon||	/||ˈspun||/  	ложка You just give him a spoon, baby.

verb ||sue    ||	/||ˈsu||/      	преследовать судебным порядком	We get sued a lot.

noun ||hook||	/||ˈhʊk||/	 крюк; приманка You got Peter on the hook.
