
Учим #Карточку_2

RUS -> ENG

adj. ||good||	/||ˈgʊd ||/	хороший	A good manager doesn't fire people.

adv. ||now||	    /||ˈnaʊ||/	сейчас	But now I think Ross feels left out.

verb ||make||	/||ˈmeɪk||/	делать; заставлять	I don't race cars or make popcorn.

noun ||time||	/||ˈtaɪm||/	время	We don’t have time for this.

noun ||thing||	/||ˈθɪŋ||/	вещь	I have to pack my things.

verb ||take||	/||ˈteɪk||/	брать	He takes my books all the time.

verb, ||mean||	/||ˈmin||/	1. значить, иметь в виду; 2. 1. You know, I mean, really happy.

adj. ||mean||	/||ˈmin||/	2 злобный, подлый	2. Boy, kids are mean when they're hungry.

adj. ||sorry||	/||ˈsɑri||/	извини(те)	Sorry, just being dramatic.

adv. ||there||	/||ˈðɛr||/	там	It's getting kind of rowdy down there.

adj. ||great||	/||ˈgreɪt||/	отличный; потрясающий	Just relax, everything looks great.
