
Учим #Карточку_146

RUS -> ENG

verb ||create||	/||kriˈeɪt||/	создавать	I'm never afraid to create a scene.

noun ||pen    ||	/||ˈpɛn||/	ручка	But she made fun of my phone pen.

noun ||pancake||	/||ˈpæˌnkeɪk||/	блин	Lily always made the pancakes.

noun ||ankle||	/||ˈæŋkəl||/	лодыжка	All right, bad ankle.

adv. ||half||	/||ˈhæf||/	наполовину	You take half, I take half.

verb ||impress||	/||ˌɪˈmprɛs||/	производить впечатление; отпечатывать In some strange way, I'm impressed.

noun ||snack||	/||ˈsnæk||/	 закуска And your pudding snack pack.

p. v. ||get down||		 приступить Let's get down to business!

noun ||weight||	/||ˈweɪt||/	 вес Cross-check against her height, age, and weight.

adj. ||curious||	/||ˈkjʊriəs||/	любопытный	I'm curious about the human body.
